"","Sample","Tissue","Thickness","ID","Symbiont.Intensity","Tissue.Intensity","Plug","Spat","Polyps","Cohort","Temperature","Nutrition","Treatment","Tank","Area","Red","Ratio","Green"
"145","A283a","Polyp",650.463333333333,"A283a Polyp",496.596666666667,640.53,"A283","a",10,"20170610","Ambient","No Heterotrophy","AN","16",7.759,23.7023853613706,0.775290254424721,2.33784098405184
"146","A283b","Polyp",714.931666666667,"A283b Polyp",509.023333333333,719.22,"A283","b",3,"20170610","Ambient","No Heterotrophy","AN","16",3.5,24.2137497771011,0.70774357405708,2.64318419929378
"147","A283c","Polyp",788.0625,"A283c Polyp",530.62,709.195,"A283","c",2,"20170610","Ambient","No Heterotrophy","AN","16",2.081,25.1024649191391,0.748200424424876,2.604283884987
"148","A283d","Polyp",724.52,"A283d Polyp",475.885,658.775,"A283","d",3,"20170610","Ambient","No Heterotrophy","AN","16",4.305,22.8500884737254,0.722378657356457,2.40863761592488
"149","A307a","Polyp",781.302,"A307a Polyp",584.096666666667,742.79,"A307","a",5,"20170610","Cool","No Heterotrophy","CN","20",7.519,27.3030602307175,0.786355048757612,2.73464359163401
"150","A307b","Polyp",661.591666666667,"A307b Polyp",770.236666666667,874.606666666667,"A307","b",4,"20170610","Cool","No Heterotrophy","CN","20",4.3,34.9628273184917,0.880666356686053,3.24613583744002
"151","A307c","Polyp",864.788,"A307c Polyp",778.723333333333,862.026666666667,"A307","c",4,"20170610","Cool","No Heterotrophy","CN","20",3.812,35.3120584886767,0.903363391697086,3.19732127843959
"152","A307d","Polyp",887.135,"A307d Polyp",710,867.39,"A307","d",6,"20170610","Cool","No Heterotrophy","CN","20",7.25,32.48405415415,0.818547596813429,3.21813278491328
"153","A319a","Polyp",637.0025,"A319a Polyp",511.176666666667,590.073333333333,"A319","a",6,"20170610","Ambient","No Heterotrophy","AN","22",7.484,24.3023606710286,0.866293455050785,2.1420524362009
"154","A319b","Polyp",550.784,"A319b Polyp",558.365,584.56,"A319","b",3,"20170610","Ambient","No Heterotrophy","AN","22",2.383,26.2441874819966,0.955188517859587,2.12065888013659
"155","A319c","Polyp",589.01,"A319c Polyp",472.216666666667,568.196666666667,"A319","c",6,"20170610","Ambient","No Heterotrophy","AN","22",4.029,22.6991344663457,0.831079614452742,2.05716373701706
"156","A333a","Polyp",853.154285714286,"A333a Polyp",664.39,820.11,"A333","a",15,"20170610","Cool","Heterotrophy","CH","24",11.726,30.6071766593967,0.810123032276158,3.03467075394824
"157","A333b","Polyp",787.32,"A333b Polyp",728.263333333333,800.45,"A333","b",3,"20170610","Cool","Heterotrophy","CH","24",2.873,33.2356007297368,0.909817394382327,2.9583834542703
"158","A336a","Polyp",909.084,"A336a Polyp",570.783793333333,866.42495,"A336","a",6,"20170610","Cool","Heterotrophy","CH","24",6.887,26.7552279055732,0.658780421008575,3.21438807186372
"159","A336b","Polyp",656.71,"A336b Polyp",531.29535,714.09115,"A336","b",1,"20170610","Cool","Heterotrophy","CH","24",0.549,25.130255956545,0.744016152559796,2.6232825656746
"160","A336c","Polyp",779.36,"A336c Polyp",614.484943333333,784.780876666667,"A336","c",5,"20170610","Cool","Heterotrophy","CH","24",7.838,28.5535551349053,0.78300193290048,2.8975820754595
"161","A336d","Polyp",785.035,"A336d Polyp",876.09308,743.93303,"A336","d",1,"20170610","Cool","Heterotrophy","CH","24",1.267,39.318879058475,1.17765046673623,2.73907892592449
"162","A336e","Polyp",803.85,"A336e Polyp",861.07142,843.41854,"A336","e",1,"20170610","Cool","Heterotrophy","CH","24",1.785,38.7007291880993,1.02093015408459,3.1251155950487
"163","A348a","Polyp",716.46,"A348a Polyp",591.02146,660.84835,"A348","a",2,"20170610","Cool","No Heterotrophy","CN","23",1.921,27.588019423069,0.894337498156725,2.41668289938303
"164","A348b","Polyp",652.97,"A348b Polyp",751.88083,683.04295,"A348","b",2,"20170610","Cool","No Heterotrophy","CN","23",1.895,34.2074741780174,1.10078118806438,2.50280528501028
"165","A349a","Polyp",698.895,"A349a Polyp",525.47894,649.335403333333,"A349","a",3,"20170610","Cool","No Heterotrophy","CN","23",4.468,24.8909073700671,0.80925656802706,2.37200886008821
"166","A349b","Polyp",741.6325,"A349b Polyp",592.42782,766.59235,"A349","b",2,"20170610","Cool","No Heterotrophy","CN","23",2.513,27.6458919386034,0.772806850994534,2.82700457879011
"167","A349c","Polyp",863.095,"A349c Polyp",577.54292,678.56195,"A349","c",2,"20170610","Cool","No Heterotrophy","CN","23",2.709,27.033369820172,0.851127771016338,2.48541752357301
"168","A349d","Polyp",798.686666666667,"A349d Polyp",514.09113,697.637483333333,"A349","d",2,"20170610","Cool","No Heterotrophy","CN","23",2.46,24.4222924982511,0.73690296505236,2.55943689935716
"169","A357a","Polyp",932.191428571429,"A357a Polyp",729.863333333333,931.863333333333,"A357","a",4,"20170610","Ambient","Heterotrophy","AH","21",3.042,33.3014416416334,0.783230015846387,3.4683106333993
"170","A361a","Polyp",748.898333333333,"A361a Polyp",862.28,769.716666666667,"A361","a",5,"20170610","Ambient","Heterotrophy","AH","21",5.234,38.7504629439118,1.12025637139207,2.83912796036889
"171","A361b","Polyp",645.392,"A361b Polyp",737.55,726.113333333333,"A361","b",3,"20170610","Ambient","Heterotrophy","AH","21",2.123,33.6177523558701,1.01575052562961,2.66993261159184
"172","A368a","Polyp",941.071666666667,"A368a Polyp",646.383333333333,826.59,"A368","a",10,"20170610","Cool","Heterotrophy","CH","19",11.239,29.8661920634267,0.781987845646975,3.05981529626324
"173","A368b","Polyp",839.666666666667,"A368b Polyp",697.94,789.053333333333,"A368","b",4,"20170610","Cool","Heterotrophy","CH","19",4.795,31.9877782807292,0.884528295510232,2.91416061981814
"174","A395a","Polyp",705.76,"A395a Polyp",574.346666666667,668.04,"A395","a",8,"20170610","Ambient","No Heterotrophy","AN","15",8.859,26.9018421738474,0.859748917230505,2.44458887897249
"175","A395b","Polyp",803.23,"A395b Polyp",667.29,815.47,"A395","b",1,"20170610","Ambient","No Heterotrophy","AN","15",1.861,30.7265133122094,0.818288839564913,3.0166660199449
"176","A395c","Polyp",747.422,"A395c Polyp",546.97,716.713333333333,"A395","c",8,"20170610","Ambient","No Heterotrophy","AN","15",8.865,25.7752767375828,0.763164259071502,2.63345750391267
"177","A401a","Polyp",919.29,"A401a Polyp",523.91,777.835,"A401","a",2,"20170610","Ambient","No Heterotrophy","AN","15",1.926,24.8263445948726,0.673549017465144,2.87062977765706
"178","A401b","Polyp",920.04,"A401b Polyp",562.12,724.2,"A401","b",3,"20170610","Ambient","No Heterotrophy","AN","15",3.26,26.398707872104,0.776194421430544,2.66250824570253
"179","A401c","Polyp",545.625,"A401c Polyp",742.41,569.09,"A401","c",1,"20170610","Ambient","No Heterotrophy","AN","15",0.97,33.8177441257561,1.30455639705495,2.06063016569012
"180","A401d","Polyp",918.891666666667,"A401d Polyp",403.25,838.853333333333,"A401","d",6,"20170610","Ambient","No Heterotrophy","AN","15",6.836,19.861116826468,0.480715738945227,3.10740108390568
"181","A405a","Polyp",623.648571428571,"A405a Polyp",570.93,658.936666666667,"A405","a",6,"20170610","Ambient","No Heterotrophy","AN","15",4.207,26.7612443932348,0.866441387892615,2.40926493603922
"182","A405b","Polyp",490.683333333333,"A405b Polyp",528.56,673.543333333333,"A405","b",4,"20170610","Ambient","No Heterotrophy","AN","15",3.666,25.0176947450722,0.784745351697243,2.46594363173076
"183","A406a","Polyp",613.693333333333,"A406a Polyp",394.206666666667,630.663333333333,"A406","a",5,"20160610","Ambient","No Heterotrophy","AN","15",NA,19.4889785056856,0.625066728682498,2.29955505542406
"184","A406b","Polyp",531.786666666667,"A406b Polyp",492.842876666667,517.33345,"A406","b",11,"20170610","Ambient","No Heterotrophy","AN","15",NA,23.5479147634528,0.95265998490271,1.85979764075899
"185","A407a","Polyp",733.638333333333,"A407a Polyp",555.083346666667,715.228843333333,"A407","a",6,"20170610","Cool","No Heterotrophy","CN","13",NA,26.1091455769996,0.77609194852894,2.62769719193409
"186","A407b","Polyp",949.2625,"A407b Polyp",625.37961,653.389803333333,"A407","b",10,"20170610","Cool","No Heterotrophy","CN","13",NA,29.0018768774948,0.957130960430609,2.38774127248975
"187","A409a","Polyp",582.21,"A409a Polyp",569.303333333333,625.56,"A409","a",5,"20170611","Ambient","No Heterotrophy","AN","22",4.18,26.6943061328066,0.910069910693352,2.27975243490745
"188","A409b","Polyp",657.7225,"A409b Polyp",625.865,685.03,"A409","b",2,"20170611","Ambient","No Heterotrophy","AN","22",1.197,29.0218509526357,0.913631519787455,2.51051569593729
"189","A409c","Polyp",721.344,"A409c Polyp",678.31,595.15,"A409","c",4,"20170611","Ambient","No Heterotrophy","AN","22",3.143,31.1799925928974,1.13972947996303,2.16175158123472
"190","A409d","Polyp",712.8,"A409d Polyp",640.02,641.35,"A409","d",3,"20170611","Ambient","No Heterotrophy","AN","22",1.893,29.6043372700712,0.997926249317845,2.34102285514726
"191","A409e","Polyp",816.5925,"A409e Polyp",678.1,630.673333333333,"A409","e",6,"20170611","Ambient","No Heterotrophy","AN","22",4.441,31.171350973211,1.07520005073942,2.2995938587301
"192","A423a","Polyp",796.37,"A423a Polyp",659.345,759.1,"A423","a",2,"20170611","Cool","No Heterotrophy","CN","20",1.635,30.3995720340727,0.868587801343697,2.79793178378798
"193","A423b","Polyp",882.976,"A423b Polyp",765.123333333333,796.066666666667,"A423","b",4,"20170611","Cool","No Heterotrophy","CN","20",3.082,34.7524107375554,0.961129721128884,2.9413746717887
"194","A424a","Polyp",723.59,"A424a Polyp",754.805786666667,692.47879,"A424","a",5,"20170611","Cool","No Heterotrophy","CN","20",NA,34.327837811887,1.0900056399802,2.53941946373831
"195","A424b","Polyp",711.1075,"A424b Polyp",587.37406,650.325393333333,"A424","b",3,"20170611","Cool","No Heterotrophy","CN","20",NA,27.4379268342867,0.903200253321391,2.37585034858303
"196","A424c","Polyp",499.74,"A424c Polyp",529.971293333333,666.496256666667,"A424","c",3,"20170611","Cool","No Heterotrophy","CN","20",NA,25.0757702700849,0.795160194873212,2.43859864447118
"197","A449a","Polyp",878.542,"A449a Polyp",633.006666666667,903.606666666667,"A449","a",3,"20170611","Ambient","Heterotrophy","AH","18",2.917,29.3157346062576,0.700533417932581,3.35866542496087
"198","A449b","Polyp",882.996666666667,"A449b Polyp",583.31,884.916666666667,"A449","b",4,"20170611","Ambient","Heterotrophy","AH","18",3.767,27.270688449035,0.659169413315755,3.28614204596898
"199","A449c","Polyp",672.74,"A449c Polyp",717.393333333333,664.05,"A449","c",7,"20170611","Ambient","Heterotrophy","AH","18",4.632,32.788294034539,1.08033029641342,2.42910635986186
"200","A497a","Polyp",602.8575,"A497a Polyp",596.456156666667,739.778736666667,"A497","a",4,"20170611","Cool","Heterotrophy","CH","17",2.823,27.8116602883283,0.806262909575111,2.72295889436447
"201","A497b","Polyp",875.6675,"A497b Polyp",673.65341,950.383675,"A497","b",3,"20170611","Cool","Heterotrophy","CH","17",2.288,30.988371260442,0.708822581574752,3.5401756819681
"202","A497c","Polyp",691.906666666667,"A497c Polyp",640.910933333333,680.09682,"A497","c",5,"20170611","Cool","Heterotrophy","CH","17",4.612,29.6409996845123,0.942381899879099,2.49137332660743
"203","A535a","Polyp",841.805,"A535a Polyp",669.912963333333,706.506483333333,"A535","a",11,"20170612","Cool","Heterotrophy","CH","24",12.821,30.8344497482957,0.948204976368582,2.59385155148552
"204","A535b","Polyp",895.51,"A535b Polyp",608.819626666667,788.942796666667,"A535","b",5,"20170612","Cool","Heterotrophy","CH","24",6.356,28.3204241252075,0.771690456188925,2.91373170100759
"205","A535c","Polyp",411.35,"A535c Polyp",642.27435,493.49493,"A535","c",1,"20170612","Cool","Heterotrophy","CH","24",1.885,29.697105057405,1.30148115199481,1.76729630204493
"206","A535d","Polyp",760.92,"A535d Polyp",532.065796666667,841.51433,"A535","d",6,"20170612","Cool","Heterotrophy","CH","24",11.076,25.1619602759832,0.632271819621499,3.11772663070894
"207","A563a","Polyp",920.175,"A563a Polyp",650.64,740.325,"A563","a",2,"20170612","Cool","No Heterotrophy","CN","20",2.925,30.0413563227851,0.87885725863641,2.72507857669473
"208","A563b","Polyp",774.945,"A563b Polyp",665.89,657.85,"A563","b",1,"20170612","Cool","No Heterotrophy","CN","20",0.961,30.6689025142998,1.01222163107091,2.40504831011602
"209","A563c","Polyp",676.355,"A563c Polyp",573.133333333333,679.41,"A563","c",8,"20170612","Cool","No Heterotrophy","CN","20",5.907,26.8519128156592,0.84357506267693,2.48870823794187
"210","A630a","Polyp",994.75,"A630a Polyp",761.072105,656.966065,"A630","a",2,"20170612","Ambient","Heterotrophy","AH","21",1.975,34.5857003827003,1.15846486682687,2.40161835008343
"211","A045a","Colony",784.823472222222,"A045a Colony",703.305,932.201666666667,"A045","a",11,"201707609","Cool","Heterotrophy","CH","24",10.238,32.2085510884326,0.754455849145661,3.46962347858704
"212","A052a","Colony",377.906875,"A052a Colony",461.4925,541.043333333333,"A052","a",2,"20170609","Ambient","No Heterotrophy","AN","22",1.779,22.2578288959302,0.852967722856456,1.95179982667857
"213","A052b","Colony",413.0645,"A052b Colony",439.010833333333,472.884166666667,"A052","b",2,"20170609","Ambient","No Heterotrophy","AN","22",1.901,21.3326954994993,0.928368645598552,1.68731972630735
"214","A052c","Colony",395.084,"A052c Colony",395.933333333333,520.414666666667,"A052","c",6,"20170609","Ambient","No Heterotrophy","AN","22",4.19,19.5600318231074,0.760803564337157,1.87175378008873
"215","A052d","Colony",469.348928571429,"A052d Colony",493.836666666667,578.49,"A052","d",4,"20170609","Ambient","No Heterotrophy","AN","22",3.837,23.5888097883489,0.853665001411721,2.09710527336929
"216","A052e","Colony",469.619375,"A052e Colony",620.011666666667,616.19,"A052","e",3,"20170609","Ambient","No Heterotrophy","AN","22",3.557,28.7809829499472,1.00620209134628,2.24339373714641
"217","A052f","Colony",520.837738095238,"A052f Colony",446.64,505.268333333333,"A052","f",4,"20170609","Ambient","No Heterotrophy","AN","22",3.69,21.6466400559648,0.883965945487711,1.81298099931447
"218","A058a","Colony",579.080833333333,"A058a Colony",660.811666666667,675.218333333333,"A058","a",2,"20170609","Ambient","No Heterotrophy","AN","22",2.578,30.4599262033113,0.978663691497318,2.47244318549274
"219","A058b","Colony",553.6425,"A058b Colony",625.71,530.6,"A058","b",7,"20170609","Ambient","No Heterotrophy","AN","22",6.942,29.0154726142957,1.17924990576706,1.91127624073571
"220","A058c","Colony",459.54875,"A058c Colony",601.598333333333,472.274166666667,"A058","c",2,"20170609","Ambient","No Heterotrophy","AN","22",2.282,28.0232637888701,1.27383281956632,1.68495272463881
"221","A058d","Colony",518.948958333333,"A058d Colony",559.416666666667,556.28,"A058","d",6,"20170609","Ambient","No Heterotrophy","AN","22",8.481,26.287464164712,1.00563864720405,2.01092313065073
"222","A058e","Colony",660.621666666667,"A058e Colony",699.923333333333,668.598333333333,"A058","e",1,"20170609","Ambient","No Heterotrophy","AN","22",1.654,32.0693935777677,1.04685174706289,2.44675539689315
"223","A070a","Colony",696.051527777778,"A070a Colony",600.81,568.226666666667,"A070","a",10,"20170609","Cool","No Heterotrophy","CN","20",10.552,27.9908234229044,1.05734214046038,2.05728014693519
"224","A083a","Colony",655.329880952381,"A083a Colony",586.905,707.613333333333,"A083","a",4,"20170609","Ambient","Heterotrophy","AH","18",4.403,27.4186247479528,0.829414840496693,2.59814649541474
"225","A083b","Colony",686.01380952381,"A083b Colony",728.046666666667,799.911666666667,"A083","b",6,"20170609","Ambient","Heterotrophy","AH","18",6.219,33.2266847729174,0.910158830037483,2.95629454296173
"226","A083c","Colony",600.433666666667,"A083c Colony",867.935,737.64,"A083","c",3,"20170609","Ambient","Heterotrophy","AH","18",2.039,38.9831694168964,1.17663765522477,2.71465988902255
"227","A084a","Colony",517.13125,"A084a Colony",667.516666666667,568.952666666667,"A084","a",3,"20170609","Ambient","Heterotrophy","AH","18",3.03,30.7358407747281,1.17323760968985,2.06009726695381
"228","A084b","Colony",591.552,"A084b Colony",688.428333333333,693.115,"A084","b",4,"20170609","Ambient","Heterotrophy","AH","18",3.391,31.5963677763604,0.993238255315977,2.54188816887199
"229","A084c","Colony",826.5805,"A084c Colony",748.97,902.523333333333,"A084","c",8,"20170609","Ambient","Heterotrophy","AH","18",8.529,34.0876918645323,0.829862201161928,3.35446173347303
"230","A084d","Colony",667.86,"A084d Colony",799.5,590.9775,"A084","d",1,"20170609","Ambient","Heterotrophy","AH","18",1.137,36.1670301633678,1.35284338236227,2.14556090178883
"231","A092a","Colony",464.464,"A092a Colony",391.966666666667,459.581666666667,"A092","a",4,"20170609","Ambient","No Heterotrophy","AN","16",4.174,19.3968012290304,0.852877072990292,1.63570162844541
"232","A092b","Colony",472.589166666667,"A092b Colony",632.245,522.165,"A092","b",1,"20170609","Ambient","No Heterotrophy","AN","16",0.905,29.2843915888235,1.21081458925818,1.87854565208956
"233","A110a","Colony",592.108571428571,"A110a Colony",804.755,654.845,"A110","a",6,"20170609","Ambient","Heterotrophy","AH","14",5.139,36.3832764083783,1.22892440195772,2.3933879166505
"234","A110b","Colony",748.223303571429,"A110b Colony",644.465,845.468333333333,"A110","b",8,"20170609","Ambient","Heterotrophy","AH","14",7.4,29.787251553434,0.762257999018296,3.13306947085225
"235","A110c","Colony",854.56119047619,"A110c Colony",799.297671666667,1115.84636666667,"A110","c",10,"20170609","Ambient","Heterotrophy","AH","14",14.662,36.158704237137,0.716315162681744,4.1822256282902
"236","A113a","Colony",770.266428571429,"A113a Colony",829.301666666667,895.686666666667,"A113","a",2,"20170609","Ambient","Heterotrophy","AH","14",2.313,37.3933857317257,0.925883679560561,3.32793320657587
"237","A113c","Colony",729.058333333333,"A113c Colony",918.725,820.31,"A113","c",1,"20170609","Ambient","Heterotrophy","AH","14",1.41,41.0732068639151,1.11997293706038,3.03544682006907
"238","A113d","Colony",510.229166666667,"A113d Colony",781.91,673.946666666667,"A113","d",1,"20170609","Ambient","Heterotrophy","AH","14",2.418,35.4431916382042,1.16019566335615,2.46750869840777
"239","A113e","Colony",763.1495,"A113e Colony",735.531666666667,826.595,"A113","e",7,"20170609","Ambient","Heterotrophy","AH","14",4.549,33.5346967888839,0.889833191183913,3.05983469791626
"241","A126a","Colony",638.944305555556,"A126a Colony",600.226666666667,574.021666666667,"A126","a",10,"20170609","Cool","No Heterotrophy","CN","13",9.266,27.9668189237754,1.04565158690293,2.07976666278634
"242","A139a","Colony",590.556428571429,"A139a Colony",647.442403333333,707.969225,"A139","a",7,"20170609","Cool","Heterotrophy","CH","17",6.859,29.9097733975282,0.91450642269561,2.59952747274068
"243","A139b","Colony",493.601666666667,"A139b Colony",683.42512,597.16007,"A139","b",3,"20170609","Cool","Heterotrophy","CH","17",3.875,31.3904826961853,1.14445883831449,2.16955131737224
"244","A139c","Colony",801.786666666667,"A139c Colony",522.162701666667,592.548645,"A139","c",4,"20170609","Cool","Heterotrophy","CH","17",5.328,24.7544422726088,0.881214911337223,2.15165746381592
"245","A140a","Colony",822.558819444444,"A140a Colony",746.876666666667,807.663333333333,"A140","a",6,"20170609","Cool","Heterotrophy","CH","17",5.621,34.0015500048009,0.924737617571678,2.9863735723617
"246","A140b","Colony",693.013333333333,"A140b Colony",790.81,753.998333333333,"A140","b",6,"20170609","Cool","Heterotrophy","CH","17",4.945,35.8094317106292,1.04882194699811,2.77813563048905
"247","A163a","Colony",825.06625,"A163a Colony",689.10289,845.305135,"A163","a",7,"20170609","Cool","Heterotrophy","CH","19",8.732,31.6241261676474,0.815212000338789,3.13243620736487
"248","A180a","Colony",777.479375,"A180a Colony",796.58,833.893333333333,"A180","a",5,"20170609","Ambient","Heterotrophy","AH","21",4.059,36.0468704991564,0.955254069265453,3.08815464410901
"249","A180c","Colony",914.81,"A180c Colony",831.068333333333,1021.26833333333,"A180","c",5,"20170609","Ambient","Heterotrophy","AH","21",3.521,37.4660850719449,0.813760993274703,3.81523159106489
"250","A283a","Colony",573.887777777778,"A283a Colony",548.376666666667,610.111666666667,"A283","a",10,"20170610","Ambient","No Heterotrophy","AN","16",7.759,25.8331618726253,0.898813605159711,2.21980779429074
"251","A283b","Colony",495.714583333333,"A283b Colony",484.125,582.893333333333,"A283","b",3,"20170610","Ambient","No Heterotrophy","AN","16",3.5,23.189169169993,0.830555047235629,2.11419166246298
"252","A283c","Colony",571.49875,"A283c Colony",553.798333333333,596.019166666667,"A283","c",2,"20170610","Ambient","No Heterotrophy","AN","16",2.081,26.0562665459583,0.929161953684375,2.16512423525151
"253","A283d","Colony",507.7875,"A283d Colony",449.330833333333,532.940833333333,"A283","d",3,"20170610","Ambient","No Heterotrophy","AN","16",4.305,21.7573693812326,0.843115793028932,1.9203594479583
"254","A307a","Colony",610.043777777778,"A307a Colony",575.533333333333,646.816666666667,"A307","a",5,"20170610","Cool","No Heterotrophy","CN","20",7.519,26.9506741835041,0.889793604576258,2.36223532911671
"255","A307b","Colony",539.491944444444,"A307b Colony",748.368333333333,694.393333333333,"A307","b",4,"20170610","Cool","No Heterotrophy","CN","20",4.3,34.0629329382879,1.07772972090746,2.54684852482765
"256","A307c","Colony",702.971777777778,"A307c Colony",793.048333333333,707.973333333333,"A307","c",4,"20170610","Cool","No Heterotrophy","CN","20",3.812,35.9015404030013,1.12016695544088,2.59954341443224
"257","A307d","Colony",722.7575,"A307d Colony",669.605,714.51,"A307","d",6,"20170610","Cool","No Heterotrophy","CN","20",7.25,30.8217768816098,0.937152734041511,2.62490784214815
"258","A319a","Colony",486.64,"A319a Colony",537.963333333333,516.008333333333,"A319","a",6,"20170610","Ambient","No Heterotrophy","AN","22",7.484,25.4046472710314,1.04254776247154,1.85465575000323
"259","A319b","Colony",364.890333333333,"A319b Colony",510.0975,472.99,"A319","b",3,"20170610","Ambient","No Heterotrophy","AN","22",2.383,24.25795234764,1.07845303283367,1.68773039462962
"260","A319c","Colony",535.816875,"A319c Colony",544.933333333333,623.615,"A319","c",6,"20170610","Ambient","No Heterotrophy","AN","22",4.029,25.6914667434811,0.873829740037256,2.27220519188235
"261","A333a","Colony",726.772142857143,"A333a Colony",621.791666666667,846.003333333333,"A333","a",15,"20170610","Cool","Heterotrophy","CH","24",11.726,28.8542309644322,0.73497543350893,3.13514544772548
"262","A333b","Colony",632.48,"A333b Colony",720.033333333333,679.946666666667,"A333","b",3,"20170610","Cool","Heterotrophy","CH","24",2.873,32.8969315391685,1.05895560436113,2.49079068203278
"263","A336a","Colony",835.487555555555,"A336a Colony",593.041251666667,839.788785,"A336","a",6,"20170610","Cool","Heterotrophy","CH","24",6.887,27.6711350013031,0.706179056280999,3.11103094563657
"264","A336b","Colony",594.5025,"A336b Colony",670.7228775,632.7433225,"A336","b",1,"20170610","Cool","Heterotrophy","CH","24",0.549,30.8677781778528,1.0600236362036,2.30762610104381
"265","A336c","Colony",692.09,"A336c Colony",555.898496666667,704.072415,"A336","c",5,"20170610","Cool","Heterotrophy","CH","24",7.838,26.1426894640824,0.7895473318134,2.58440656163905
"266","A336d","Colony",657.355833333333,"A336d Colony",822.8118775,671.812475,"A336","d",1,"20170610","Cool","Heterotrophy","CH","24",1.267,37.1263272087568,1.22476421340643,2.45922732916845
"267","A336e","Colony",685.8825,"A336e Colony",801.5905675,763.9854,"A336","e",1,"20170610","Cool","Heterotrophy","CH","24",1.785,36.2530582074812,1.04922236406612,2.81688875092158
"268","A348a","Colony",601.365,"A348a Colony",598.13435,612.6614175,"A348","a",2,"20170610","Cool","No Heterotrophy","CN","23",1.921,27.8807189004568,0.976288587652086,2.22970167048233
"269","A348b","Colony",466.716666666667,"A348b Colony",744.08088875,586.2876075,"A348","b",2,"20170610","Cool","No Heterotrophy","CN","23",1.895,33.8865021501173,1.26913971783038,2.12736256839083
"270","A349a","Colony",475.139166666667,"A349a Colony",501.132115,534.858179166667,"A349","a",3,"20170610","Cool","No Heterotrophy","CN","23",4.468,23.8890216451998,0.936943912460657,1.92779938367416
"271","A349b","Colony",542.400416666667,"A349b Colony",576.649843333333,618.166738333333,"A349","b",2,"20170610","Cool","No Heterotrophy","CN","23",2.513,26.9966192063427,0.93283867858705,2.25106413539767
"272","A349c","Colony",647.9825,"A349c Colony",569.865036666667,552.982165,"A349","c",2,"20170610","Cool","No Heterotrophy","CN","23",2.709,26.7174205451079,1.03053058983677,1.99812644057274
"273","A349d","Colony",546.442333333333,"A349d Colony",507.99718,557.032315,"A349","d",2,"20170610","Cool","No Heterotrophy","CN","23",2.46,24.1715229825933,0.911970753438246,2.01384236156921
"274","A357a","Colony",741.178839285714,"A357a Colony",848.166666666667,879.533333333333,"A357","a",4,"20170610","Ambient","Heterotrophy","AH","21",3.042,38.1696912335569,0.964337148487835,3.26525293288322
"275","A361a","Colony",571.57630952381,"A361a Colony",822.353333333333,698.896666666667,"A361","a",5,"20170610","Ambient","Heterotrophy","AH","21",5.234,37.107457854958,1.17664509297989,2.56432294698175
"276","A361b","Colony",585.9335,"A361b Colony",869.108333333333,722.05,"A361","b",3,"20170610","Ambient","Heterotrophy","AH","21",2.123,39.0314527522873,1.20366779770561,2.65416553490357
"277","A368a","Colony",691.601944444444,"A368a Colony",703.553333333333,805.471666666667,"A368","a",10,"20170610","Cool","Heterotrophy","CH","19",11.239,32.2187701466332,0.873467512823749,2.9778691811209
"278","A368b","Colony",674.862222222222,"A368b Colony",705.945,652.168333333333,"A368","b",4,"20170610","Cool","Heterotrophy","CH","19",4.795,32.317188593062,1.08245826103179,2.38300156506668
"279","A395a","Colony",563.531111111111,"A395a Colony",605.698333333333,591.47,"A395","a",8,"20170610","Ambient","No Heterotrophy","AN","15",8.859,28.1919811256053,1.02405588336405,2.14747196461139
"280","A395b","Colony",581.555,"A395b Colony",620.161666666667,632.423333333333,"A395","b",1,"20170610","Ambient","No Heterotrophy","AN","15",1.861,28.7871555354375,0.980611615637205,2.30638443728739
"281","A395c","Colony",586.735375,"A395c Colony",560.298333333333,606.31,"A395","c",8,"20170610","Ambient","No Heterotrophy","AN","15",8.865,26.3237452505384,0.924111977921086,2.20505607077723
"282","A401a","Colony",660.8525,"A401a Colony",491.06,693.4575,"A401","a",2,"20170610","Ambient","No Heterotrophy","AN","15",1.926,23.474548372495,0.708132798332991,2.54321718210392
"283","A401b","Colony",559.11,"A401b Colony",525.346666666667,560.898333333333,"A401","b",3,"20170610","Ambient","No Heterotrophy","AN","15",3.26,24.8854642470132,0.936616558556363,2.02884379082431
"284","A401c","Colony",460.7725,"A401c Colony",676.2325,490.83,"A401","c",1,"20170610","Ambient","No Heterotrophy","AN","15",0.97,31.0945022838566,1.37773261618076,1.75695549260797
"285","A401d","Colony",652.533611111111,"A401d Colony",396.556666666667,691.343333333333,"A401","d",6,"20170610","Ambient","No Heterotrophy","AN","15",6.836,19.5856823450338,0.573603081922634,2.53501351648494
"286","A405a","Colony",431.904285714286,"A405a Colony",550.223333333333,566.708333333333,"A405","a",6,"20170610","Ambient","No Heterotrophy","AN","15",4.207,25.9091532584393,0.970910962429233,2.05138851163452
"287","A405b","Colony",424.436041666667,"A405b Colony",557.005,559.923333333333,"A405","b",4,"20170610","Ambient","No Heterotrophy","AN","15",3.666,26.1882227068845,0.994787976925412,2.02506046848525
"288","A406a","Colony",427.065555555556,"A406a Colony",410.781666666667,543.516666666667,"A406","a",5,"20160610","Ambient","No Heterotrophy","AN","15",NA,20.1710492023648,0.755784857870044,1.96139717770621
"289","A406b","Colony",408.351111111111,"A406b Colony",514.934293333333,493.723231666667,"A406","b",11,"20170610","Ambient","No Heterotrophy","AN","15",NA,24.4569891499664,1.04296144136273,1.76818218798908
"290","A407a","Colony",584.275416666667,"A407a Colony",551.706633333333,621.49895,"A407","a",6,"20170610","Cool","No Heterotrophy","CN","13",NA,25.9701918988245,0.887703242834656,2.2639942183074
